ticker,call_date,transcript_path,positive,negative,neutral,return_1d,return_5d
AAPL,2020-04-30,data\raw\data\transcripts\AAPL\2020-Apr-30-AAPL.txt,0.2182355374097824,0.12771232426166534,0.654052197933197,-0.01609959600679678,0.03383244071015712
AAPL,2020-01-28,data\raw\data\transcripts\AAPL\2020-Jan-28-AAPL.txt,0.29997518658638,0.08862341195344925,0.611401379108429,0.02093234889322293,0.0036515638832719244
AAPL,2020-07-30,data\raw\data\transcripts\AAPL\2020-Jul-30-AAPL.txt,0.2492339313030243,0.042797550559043884,0.707968533039093,0.10468878343415744,0.18414065621226872
AMD,2016-04-21,data\raw\data\transcripts\AMD\2016-Apr-21-AMD.txt,0.2204425185918808,0.0470740981400013,0.7324835062026978,0.5229008335186689,0.3778626155647664
AMD,2016-01-19,data\raw\data\transcripts\AMD\2016-Jan-19-AMD.txt,0.2503018379211426,0.10153301805257797,0.6481651067733765,-0.07692312394843659,0.06153840134600119
AMD,2016-07-21,data\raw\data\transcripts\AMD\2016-Jul-21-AMD.txt,0.2820129692554474,0.060272280126810074,0.6577147245407104,0.11877402055862474,0.30651349535992667
AMD,2016-10-20,data\raw\data\transcripts\AMD\2016-Oct-20-AMD.txt,0.2997490465641022,0.038789454847574234,0.6614614725112915,-0.06321839867943513,0.021551737722025566
AMD,2017-01-31,data\raw\data\transcripts\AMD\2017-Jan-31-AMD.txt,0.2703976631164551,0.11695798486471176,0.6126444339752197,0.1629701593739703,0.28158149551768474
AMD,2017-07-25,data\raw\data\transcripts\AMD\2017-Jul-25-AMD.txt,0.25776010751724243,0.09465868771076202,0.6475813388824463,0.046066661092864836,-0.028348662527499235
AMD,2017-05-01,data\raw\data\transcripts\AMD\2017-May-01-AMD.txt,0.20286251604557037,0.09382393211126328,0.7033135890960693,-0.24229076493853452,-0.2628487484424895
AMD,2017-10-24,data\raw\data\transcripts\AMD\2017-Oct-24-AMD.txt,0.2637516260147095,0.06599780917167664,0.6702505350112915,-0.1347368474592242,-0.22877194588644467
AMD,2018-04-25,data\raw\data\transcripts\AMD\2018-Apr-25-AMD.txt,0.24659863114356995,0.06102869659662247,0.6923726201057434,0.13697218521946253,0.12976315385497061
AMD,2018-01-30,data\raw\data\transcripts\AMD\2018-Jan-30-AMD.txt,0.23904302716255188,0.11102838814258575,0.6499285697937012,0.06759905930809484,-0.09479411638516977
AMD,2018-07-25,data\raw\data\transcripts\AMD\2018-Jul-25-AMD.txt,0.24409733712673187,0.03610340505838394,0.7197993397712708,0.1433022588000079,0.15140189536986037
AMD,2018-10-24,data\raw\data\transcripts\AMD\2018-Oct-24-AMD.txt,0.16642041504383087,0.10902366787195206,0.7245558500289917,-0.15445372164796256,-0.20096540794494788
AMD,2019-04-30,data\raw\data\transcripts\AMD\2019-Apr-30-AMD.txt,0.17840676009655,0.104087233543396,0.7175060510635376,-0.029677876211758325,-0.035106744220674835
AMD,2019-01-29,data\raw\data\transcripts\AMD\2019-Jan-29-AMD.txt,0.2548162043094635,0.10225442796945572,0.6429293751716614,0.19948052740716316,0.21090906316583813
AMD,2019-07-30,data\raw\data\transcripts\AMD\2019-Jul-30-AMD.txt,0.16418765485286713,0.12106531113386154,0.7147471904754639,-0.10097426267485865,-0.14791846706605172
AMD,2019-10-29,data\raw\data\transcripts\AMD\2019-Oct-29-AMD.txt,0.2585357129573822,0.06293792277574539,0.6785264015197754,0.003027620118503993,0.09445966884315005
AMD,2020-04-28,data\raw\data\transcripts\AMD\2020-Apr-28-AMD.txt,0.20852944254875183,0.08039936423301697,0.7110711336135864,-0.03332730192865907,-0.05980903972638629
AMD,2020-01-28,data\raw\data\transcripts\AMD\2020-Jan-28-AMD.txt,0.23944362998008728,0.06173029914498329,0.6988260746002197,-0.05976648586425504,-0.021373402779497397
AMD,2020-07-28,data\raw\data\transcripts\AMD\2020-Jul-28-AMD.txt,0.26780375838279724,0.04040974751114845,0.6917864084243774,0.12542516862868824,0.25780210246747326
AMZN,2016-04-28,data\raw\data\transcripts\AMZN\2016-Apr-28-AMZN.txt,0.22244654595851898,0.04191270098090172,0.7356407642364502,0.09566443185819673,0.09483381639101895
AMZN,2016-01-28,data\raw\data\transcripts\AMZN\2016-Jan-28-AMZN.txt,0.22087585926055908,0.06780756264925003,0.7113166451454163,-0.0760997732916433,-0.15596128780241314
AMZN,2016-07-28,data\raw\data\transcripts\AMZN\2016-Jul-28-AMZN.txt,0.22478091716766357,0.04263562336564064,0.7325833439826965,0.008237933380032203,0.010842293815974458
AMZN,2016-10-27,data\raw\data\transcripts\AMZN\2016-Oct-27-AMZN.txt,0.1701900213956833,0.04923002049326897,0.7805801033973694,-0.05137097153119663,-0.06272295441307096
AMZN,2017-04-27,data\raw\data\transcripts\AMZN\2017-Apr-27-AMZN.txt,0.1977534145116806,0.042121730744838715,0.760124921798706,0.007197490485894464,0.020851945479875678
AMZN,2017-02-02,data\raw\data\transcripts\AMZN\2017-Feb-02-AMZN.txt,0.19493336975574493,0.029520398005843163,0.7755462527275085,-0.03541884643413129,-0.022132282860644503
AMZN,2017-07-27,data\raw\data\transcripts\AMZN\2017-Jul-27-AMZN.txt,0.23044782876968384,0.03771908953785896,0.7318330407142639,-0.02481836242119062,-0.056481808963021574
AMZN,2017-10-26,data\raw\data\transcripts\AMZN\2017-Oct-26-AMZN.txt,0.1641753911972046,0.025972265750169754,0.8098524212837219,0.13216381132847022,0.12524296173949856
AMZN,2018-04-26,data\raw\data\transcripts\AMZN\2018-Apr-26-AMZN.txt,0.236288383603096,0.027165548875927925,0.7365460395812988,0.03600877473825914,0.035653028522121266
AMZN,2018-02-01,data\raw\data\transcripts\AMZN\2018-Feb-01-AMZN.txt,0.2609614431858063,0.04059406742453575,0.6984444856643677,0.02874097206609716,-0.02841724423195824
AMZN,2018-07-26,data\raw\data\transcripts\AMZN\2018-Jul-26-AMZN.txt,0.2251124382019043,0.037296950817108154,0.7375905513763428,0.005127223105519718,0.014563028545497403
AMZN,2018-10-25,data\raw\data\transcripts\AMZN\2018-Oct-25-AMZN.txt,0.18408681452274323,0.03323441371321678,0.7826789021492004,-0.07819674751655215,-0.06544831175716281
AMZN,2019-04-25,data\raw\data\transcripts\AMZN\2019-Apr-25-AMZN.txt,0.19385012984275818,0.06316197663545609,0.7429878115653992,0.02543302552920257,-0.0007517695702736749
AMZN,2019-01-31,data\raw\data\transcripts\AMZN\2019-Jan-31-AMZN.txt,0.20638179779052734,0.04872305691242218,0.7448951005935669,-0.05381880772938674,-0.06071927860666704
